,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
1,p.nc_05r.d_b,46,0.369565217,0.488020749,0.071954734,0.144924273,0,-5,p.nc_05r.d_b,Rep,53,0.301886792,0.463469593,0.063662445,0.127748041,0,-5,0.067678425
3,p.nc_05r.u_b,49,0.142857143,0.353553391,0.050507627,0.101552391,0,5,p.nc_05r.u_b,Rep,50,0.38,0.490314351,0.069340921,0.139345797,0,5,-0.237142857
5,p.nc_10r.d_b,52,0.346153846,0.480384461,0.066617339,0.133739888,0,-10,p.nc_10r.d_b,Rep,47,0.382978723,0.491368607,0.071673478,0.144271228,0,-10,-0.036824877
7,p.nc_10r.u_b,54,0.166666667,0.376177397,0.05119126,0.102676664,0,10,p.nc_10r.u_b,Rep,47,0.425531915,0.499768679,0.072898754,0.146737581,0,10,-0.258865248
9,p.nc_15r.d_b,52,0.480769231,0.504504595,0.0699622,0.140454976,0,-15,p.nc_15r.d_b,Rep,47,0.361702128,0.485687854,0.070844855,0.142603296,0,-15,0.119067103
11,p.nc_15r.u_b,46,0.217391304,0.417028828,0.061487546,0.123842275,0,15,p.nc_15r.u_b,Rep,54,0.481481481,0.504348664,0.06863316,0.137660686,0,15,-0.264090177
13,p.nc_20r.d_b,58,0.362068966,0.484796064,0.063656842,0.127470627,0,-20,p.nc_20r.d_b,Rep,43,0.279069767,0.453850269,0.069211517,0.139674496,0,-20,0.082999198
15,p.nc_20r.u_b,55,0.236363636,0.428763786,0.057814497,0.115911088,0,20,p.nc_20r.u_b,Rep,45,0.266666667,0.447213595,0.066666667,0.134357838,0,20,-0.03030303
17,p.nc_25r.d_b,51,0.392156863,0.4930895,0.069046341,0.138683657,0,-25,p.nc_25r.d_b,Rep,48,0.291666667,0.459339643,0.066299967,0.133378329,0,-25,0.100490196
19,p.nc_25r.u_b,43,0.186046512,0.393749615,0.060046253,0.121178245,0,25,p.nc_25r.u_b,Rep,52,0.480769231,0.504504595,0.0699622,0.140454976,0,25,-0.294722719
21,p.nc_30r.d_b,56,0.410714286,0.496415724,0.066336342,0.132940999,0,-30,p.nc_30r.d_b,Rep,42,0.214285714,0.415299732,0.06408214,0.129416507,0,-30,0.196428571
23,p.nc_30r.u_b,52,0.173076923,0.382004714,0.052974523,0.106350792,0,30,p.nc_30r.u_b,Rep,46,0.47826087,0.505046992,0.074465116,0.149980443,0,30,-0.305183946
25,p.nc_35r.d_b,43,0.395348837,0.494711791,0.075442841,0.152249817,0,-35,p.nc_35r.d_b,Rep,56,0.285714286,0.455842306,0.06091449,0.122075367,0,-35,0.109634551
27,p.nc_35r.u_b,53,0.264150943,0.445099099,0.061139063,0.122684506,0,35,p.nc_35r.u_b,Rep,49,0.285714286,0.456435465,0.065205066,0.131103573,0,35,-0.021563342
29,p.nc_40r.d_b,48,0.541666667,0.503533613,0.072678817,0.14621092,0,-40,p.nc_40r.d_b,Rep,51,0.294117647,0.460178993,0.064437948,0.129427428,0,-40,0.24754902
31,p.nc_40r.u_b,41,0.12195122,0.331294578,0.051739521,0.104569472,0,40,p.nc_40r.u_b,Rep,53,0.264150943,0.445099099,0.061139063,0.122684506,0,40,-0.142199724
33,p.nc_45r.d_b,46,0.434782609,0.501206274,0.073898834,0.148839891,0,-45,p.nc_45r.d_b,Rep,56,0.232142857,0.426020547,0.05692939,0.114089048,0,-45,0.202639752
35,p.nc_45r.u_b,49,0.244897959,0.434483038,0.062069005,0.1247981,0,45,p.nc_45r.u_b,Rep,48,0.479166667,0.504852341,0.072869159,0.146593839,0,45,-0.234268707
