V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q42,Q3,Q103,35p.u_35r.u_b,35p.u_30r.u_b,35p.u_25r.u_b,35p.u_20r.u_b,35p.u_15r.u_b,35p.u_10r.u_b,35p.u_05r.u_b,30p.u_35r.u_b,30p.u_30r.u_b,30p.u_25r.u_b,30p.u_20r.u_b,30p.u_15r.u_b,30p.u_10r.u_b,30p.u_05r.u_b,25p.u_35r.u_b,25p.u_30r.u_b,25p.u_25r.u_b,25p.u_20r.u_b,25p.u_15r.u_b,25p.u_10r.u_b,25p.u_05r.u_b,20p.u_35r.u_b,20p.u_30r.u_b,20p.u_25r.u_b,20p.u_20r.u_b,20p.u_15r.u_b,20p.u_10r.u_b,20p.u_05r.u_b,15p.u_35r.u_b,15p.u_30r.u_b,15p.u_25r.u_b,15p.u_20r.u_b,15p.u_15r.u_b,15p.u_10r.u_b,15p.u_05r.u_b,10p.u_35r.u_b,10p.u_30r.u_b,10p.u_25r.u_b,10p.u_20r.u_b,10p.u_15r.u_b,10p.u_10r.u_b,10p.u_05r.u_b,05p.u_35r.u_b,05p.u_30r.u_b,05p.u_25r.u_b,05p.u_20r.u_b,05p.u_15r.u_b,05p.u_10r.u_b,05p.u_05r.u_b,35p.u_35r.d_b,35p.u_30r.d_b,35p.u_25r.d_b,35p.u_20r.d_b,35p.u_15r.d_b,35p.u_10r.d_b,35p.u_05r.d_b,30p.u_35r.d_b,30p.u_30r.d_b,30p.u_25r.d_b,30p.u_20r.d_b,30p.u_15r.d_b,30p.u_10r.d_b,30p.u_05r.d_b,25p.u_35r.d_b,25p.u_30r.d_b,25p.u_25r.d_b,25p.u_20r.d_b,25p.u_15r.d_b,25p.u_10r.d_b,25p.u_05r.d_b,20p.u_35r.d_b,20p.u_30r.d_b,20p.u_25r.d_b,20p.u_20r.d_b,20p.u_15r.d_b,20p.u_10r.d_b,20p.u_05r.d_b,15p.u_35r.d_b,15p.u_30r.d_b,15p.u_25r.d_b,15p.u_20r.d_b,15p.u_15r.d_b,15p.u_10r.d_b,15p.u_05r.d_b,10p.u_35r.d_b,10p.u_30r.d_b,10p.u_25r.d_b,10p.u_20r.d_b,10p.u_15r.d_b,10p.u_10r.d_b,10p.u_05r.d_b,05p.u_35r.d_b,05p.u_30r.d_b,05p.u_25r.d_b,05p.u_20r.d_b,05p.u_15r.d_b,05p.u_10r.d_b,05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,35p.u_r.nc_b,30p.u_r.nc_b,25p.u_r.nc_b,20p.u_r.nc_b,15p.u_r.nc_b,10p.u_r.nc_b,05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder
R_qQ8ZPfLoUgfOcIV,Default Response Set,Anonymous,,,99.101.39.20,0,2020-03-26 15:28,2020-03-26 15:34,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,2,,4,6,5,6,5,6,5,1,40,60,2,2,1,1,1,25,25,4,3,50,50,52,50,18,18,19,18,Economic development and others that can have impact.,1,4,2,4,5,4,5,2,3,4,4,3,4,4,5,6,6,5,1,23,4,2,6,5,5,1,,46,,1,1,8
R_9Wz91i9vOc5SfJL,Default Response Set,Anonymous,,,208.107.131.208,0,2020-03-26 15:25,2020-03-26 15:36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,,,4,6,6,3,3,3,5,1,80,20,2,2,1,2,2,23,23,5,4,50,50,54,50,19,19,19,19,"I was considering only whether it would increase the wealth of the poor; if it didn't, I voted no, if it did I voted yes. It didn't matter if the rich gained or lost, or how much.",1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,2,31,6,2,2,1,3,2,1,43,,1,1,6
R_1j6C1opB8oU99DY,Default Response Set,Anonymous,,,71.29.227.186,0,2020-03-26 15:27,2020-03-26 15:37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,2,1,,3,3,2,3,3,3,2,1,50,50,2,2,1,2,2,27,26,4,4,52,53,52,52,19,19,18,18,Making sure the poor always got the most increase,1,4,3,3,3,4,3,2,3,4,3,3,3,4,4,3,3,4,2,22,1,4,7,6,6,3,,,6,1,1,6
R_1nUFJX0FHDwOh6i,Default Response Set,Anonymous,,,35.136.254.105,0,2020-03-26 15:27,2020-03-26 15:37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5,,4,4,4,4,4,4,4,1,50,50,2,2,1,2,2,27,27,4,4,50,50,54,50,18,18,21,18,,1,2,1,4,3,6,4,2,2,2,2,2,2,2,7,6,6,6,2,33,1,2,2,2,2,1,,47,,1,1,7
R_1MSWd7ILiKZIjog,Default Response Set,Anonymous,,,50.50.121.126,0,2020-03-26 15:25,2020-03-26 15:38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,7,5,6,5,2,5,6,1,60,40,2,1,1,1,1,23,22,3,3,51,51,52,50,20,20,18,20,If the rewards for the poor would outweigh any negative consequences for the rich.,1,3,3,4,3,4,5,2,5,5,2,2,3,3,5,5,6,5,1,38,1,12,2,2,2,1,,49,,1,1,4
R_3JlzmoTRaMN51n3,Default Response Set,Anonymous,,,198.228.135.23,0,2020-03-26 15:27,2020-03-26 15:38,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,7,,7,5,7,7,6,6,7,1,60,40,2,2,1,2,2,29,27,4,5,54,53,54,53,21,22,21,20,yes,1,7,6,7,6,6,6,2,6,7,6,7,6,7,5,7,6,7,1,48,2,3,1,1,3,3,,,7,1,1,4
R_3irq773AlWrfxId,Default Response Set,Anonymous,,,173.63.59.139,0,2020-03-26 15:25,2020-03-26 15:38,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,7,5,7,3,1,6,5,1,65,35,2,2,1,2,2,23,22,5,5,50,50,54,50,22,22,18,18,That past policies of giving the rich tax breaks so that they would re-invest have always proved false so now it is time to take from the rich and give to the poor.,1,1,1,1,1,7,7,2,7,7,1,1,1,1,7,7,7,7,1,65,1,10,2,1,3,1,,49,,1,1,4
R_phEroZSwFw7V9Xr,Default Response Set,Anonymous,,,75.174.144.175,0,2020-03-26 15:28,2020-03-26 15:38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,8,,1,1,1,1,1,1,1,1,90,10,2,1,2,1,1,26,27,3,5,50,50,54,50,18,18,19,19,No policy that benefits one group at the expense of others should EVER be considered. Period.,1,1,2,2,2,6,7,2,7,6,2,2,3,3,7,5,4,5,1,42,1,1,7,6,7,4,2,,3,1,1,9
R_dbuCbkl5i8o8IDf,Default Response Set,Anonymous,,,172.11.220.144,0,2020-03-26 15:26,2020-03-26 15:38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,,,4,4,4,4,4,4,4,1,100,0,2,1,1,2,2,23,22,3,3,50,50,50,50,18,18,18,18,my own situation,1,1,1,1,1,1,7,2,7,7,1,1,1,1,7,7,7,7,1,38,1,2,4,4,4,2,2,,1,1,1,8
R_bykzzAHXfTG4qFX,Default Response Set,Anonymous,,,73.125.33.250,0,2020-03-26 15:26,2020-03-26 15:38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,,3,6,4,3,3,3,4,1,50,50,2,1,1,2,2,24,22,5,4,50,50,53,51,19,20,19,18,I was considering if helping the rich can allow the poor to benefit as well.,1,2,1,1,1,7,7,2,7,6,1,1,1,4,5,5,7,4,1,29,4,1,3,3,3,2,1,45,,1,1,5
