X,X35p.u_35r.u_b,X35p.u_30r.u_b,X35p.u_25r.u_b,X35p.u_20r.u_b,X35p.u_15r.u_b,X35p.u_10r.u_b,X35p.u_05r.u_b,X30p.u_35r.u_b,X30p.u_30r.u_b,X30p.u_25r.u_b,X30p.u_20r.u_b,X30p.u_15r.u_b,X30p.u_10r.u_b,X30p.u_05r.u_b,X25p.u_35r.u_b,X25p.u_30r.u_b,X25p.u_25r.u_b,X25p.u_20r.u_b,X25p.u_15r.u_b,X25p.u_10r.u_b,X25p.u_05r.u_b,X20p.u_35r.u_b,X20p.u_30r.u_b,X20p.u_25r.u_b,X20p.u_20r.u_b,X20p.u_15r.u_b,X20p.u_10r.u_b,X20p.u_05r.u_b,X15p.u_35r.u_b,X15p.u_30r.u_b,X15p.u_25r.u_b,X15p.u_20r.u_b,X15p.u_15r.u_b,X15p.u_10r.u_b,X15p.u_05r.u_b,X10p.u_35r.u_b,X10p.u_30r.u_b,X10p.u_25r.u_b,X10p.u_20r.u_b,X10p.u_15r.u_b,X10p.u_10r.u_b,X10p.u_05r.u_b,X05p.u_35r.u_b,X05p.u_30r.u_b,X05p.u_25r.u_b,X05p.u_20r.u_b,X05p.u_15r.u_b,X05p.u_10r.u_b,X05p.u_05r.u_b,X35p.u_35r.d_b,X35p.u_30r.d_b,X35p.u_25r.d_b,X35p.u_20r.d_b,X35p.u_15r.d_b,X35p.u_10r.d_b,X35p.u_05r.d_b,X30p.u_35r.d_b,X30p.u_30r.d_b,X30p.u_25r.d_b,X30p.u_20r.d_b,X30p.u_15r.d_b,X30p.u_10r.d_b,X30p.u_05r.d_b,X25p.u_35r.d_b,X25p.u_30r.d_b,X25p.u_25r.d_b,X25p.u_20r.d_b,X25p.u_15r.d_b,X25p.u_10r.d_b,X25p.u_05r.d_b,X20p.u_35r.d_b,X20p.u_30r.d_b,X20p.u_25r.d_b,X20p.u_20r.d_b,X20p.u_15r.d_b,X20p.u_10r.d_b,X20p.u_05r.d_b,X15p.u_35r.d_b,X15p.u_30r.d_b,X15p.u_25r.d_b,X15p.u_20r.d_b,X15p.u_15r.d_b,X15p.u_10r.d_b,X15p.u_05r.d_b,X10p.u_35r.d_b,X10p.u_30r.d_b,X10p.u_25r.d_b,X10p.u_20r.d_b,X10p.u_15r.d_b,X10p.u_10r.d_b,X10p.u_05r.d_b,X05p.u_35r.d_b,X05p.u_30r.d_b,X05p.u_25r.d_b,X05p.u_20r.d_b,X05p.u_15r.d_b,X05p.u_10r.d_b,X05p.u_05r.d_b,p.nc_35r.d_b,p.nc_30r.d_b,p.nc_25r.d_b,p.nc_20r.d_b,p.nc_15r.d_b,p.nc_10r.d_b,p.nc_05r.d_b,p.nc_35r.u_b,p.nc_30r.u_b,p.nc_25r.u_b,p.nc_20r.u_b,p.nc_15r.u_b,p.nc_10r.u_b,p.nc_05r.u_b,X35p.u_r.nc_b,X30p.u_r.nc_b,X25p.u_r.nc_b,X20p.u_r.nc_b,X15p.u_r.nc_b,X10p.u_r.nc_b,X05p.u_r.nc_b,reg_dem,who_vote,who_vote_other,fav_biden,fav_bernie,fav_warren,fav_bloomberg,fav_gabbard,fav_klobuchar,fav_buttigieg,Q53,stim_divide_ppl,stim_divide_corp,school_close,UBI,consid_econ,medicare,stud_debt,trump_overall,trump_covid,emp1,emp2,poor_anger,poor_disgust,poor_comp,poor_envy,rich_anger,rich_disgust,rich_comp,rich_envy,open_why_vote,Q256,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,attn,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,gender,age,ethnicity,income,ideology,soc_iss,econ_iss,partyid,partyid_force,strong_dem,strong_rep,Q63,Q65,ses_ladder,party,repub,pte,cte,ptae,ctae,sdo,ptez,ctez,ptaez,ctaez,sdoz,pid,poor_angerz,poor_disgustz,poor_compz,poor_envyz,rich_angerz,rich_disgustz,rich_compz,rich_envyz,trump_overallz,trump_covidz,t1_weight,t1_weightz,t2_weight,t2_weightz,t3_weight,t3_weightz,t4_weight,t4_weightz,money_burning,money_burningz,free_rich,free_richz,bern_min_bid,bern_min_bidz
1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,2,NA,4,6,5,6,5,6,5,1,40,60,1,1,1,0,0,3,4,4,3,1,1,3,1,1,1,2,1,Economic development and others that can have impact.,1,4,2,4,5,4,3,2,5,4,4,3,4,4,3,2,2,3,1,23,4,2,6,5,5,1,NA,46,NA,1,1,8,Dem,0,3.75,4,3.75,5.5,3.5,0.321758379,-1.198526318,0.140506497,-0.07152053,0.46791107,1,-0.617105696,-0.613834812,-0.622680797,-0.547747684,-0.994990595,-0.99954564,-0.044649568,-1.223853175,-0.485439267,-0.08124837,0.714285714,0.51320526,0.714285714,-0.291687516,0.333333333,-1.120580055,0.333333333,-0.561598252,0.285714286,-0.030210651,0.285714286,0.113036085,2,0.605525682
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA,NA,4,6,6,3,3,3,5,1,80,20,1,1,1,1,1,1,2,5,4,1,1,5,1,2,2,2,2,"I was considering only whether it would increase the wealth of the poor; if it didn't, I voted no, if it did I voted yes. It didn't matter if the rich gained or lost, or how much.",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,31,6,2,2,1,3,2,1,43,NA,1,1,6,Dem,0,1,7,1,7,1,-1.139607638,1.214648088,-1.34549934,1.104227373,-1.444482526,2,-0.617105696,-0.613834812,1.098314526,-0.547747684,-0.279746596,-0.304273452,-0.044649568,-0.454667158,-1.348442409,-0.941203031,1,1.198442705,1,0.644609658,1,0.780281204,1,1.054518834,0,-0.767713587,0,-0.663472675,2,0.605525682
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,NA,3,3,2,3,3,3,2,1,50,50,1,1,1,1,1,5,5,4,4,3,4,3,3,2,2,1,1,Making sure the poor always got the most increase,1,4,3,3,3,4,5,2,5,4,3,3,3,4,4,5,5,4,2,22,1,4,7,6,6,3,NA,NA,6,1,1,6,Rep,1,3.25,3.5,3.25,3.5,3.875,0.056055467,-1.600722052,-0.129676382,-1.6391844,0.75477011,3,1.049607124,2.080217973,-0.622680797,1.083399993,-0.279746596,-0.304273452,-0.826843852,-1.223853175,0.377563875,0.34872896,0.952380952,1.084236465,1,0.644609658,1,0.780281204,1,1.054518834,0.571428571,0.707292285,0.285714286,0.113036085,0,-0.21531755
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5,NA,4,4,4,4,4,4,4,1,50,50,1,1,1,1,1,5,6,4,4,1,1,5,1,1,1,4,1,,1,2,1,4,3,2,4,2,6,6,2,2,2,2,1,2,2,2,2,33,1,2,2,2,2,1,NA,47,NA,1,1,7,Dem,0,2.5,3.5,2,6.25,2.6875,-0.342498901,-1.600722052,-0.805133581,0.516353421,-0.153616849,4,-0.617105696,-0.613834812,1.098314526,-0.547747684,-0.994990595,-0.99954564,1.519739,-1.223853175,0.377563875,0.77870629,0.619047619,0.284792778,1,0.644609658,0.904761905,0.508729596,1,1.054518834,0.714285714,1.076043753,0.571428571,0.889544846,0,-0.21531755
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,7,5,6,5,2,5,6,1,60,40,1,0,1,0,0,1,1,3,3,2,2,3,1,3,3,1,3,If the rewards for the poor would outweigh any negative consequences for the rich.,1,3,3,4,3,4,3,2,3,3,2,2,3,3,3,3,2,3,1,38,1,12,2,2,2,1,NA,49,NA,1,1,4,Dem,0,3.25,4.75,2.5,5.25,2.9375,0.056055467,-0.595232717,-0.534950701,-0.267478514,0.037622511,5,0.216250714,0.284182783,-0.622680797,-0.547747684,0.435497403,0.390998736,-0.826843852,0.314518858,-1.348442409,-1.371180361,1,1.198442705,1,0.644609658,0.904761905,0.508729596,0.428571429,-0.330724383,0,-0.767713587,0.857142857,1.666053607,-2,-1.036160783
6,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,7,NA,7,5,7,7,6,6,7,1,60,40,1,1,1,1,1,7,6,4,5,5,4,5,4,4,5,4,3,yes,1,7,6,7,6,2,2,2,2,1,6,7,6,7,3,1,2,1,1,48,2,3,1,1,3,3,NA,NA,7,1,1,4,Rep,1,6.5,6.25,6.5,6.25,4.125,1.783124395,0.611354487,1.626512335,0.516353421,0.94600947,6,2.716319944,2.080217973,1.098314526,1.898973832,1.150741403,1.781543111,1.519739,0.314518858,1.240567017,0.77870629,0.80952381,0.741617742,0.380952381,-1.384034219,0.666666667,-0.170149426,0.142857143,-1.023345991,1,1.813546689,0.857142857,1.666053607,-2,-1.036160783
7,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,7,5,7,3,1,6,5,1,65,35,1,1,1,1,1,1,1,5,5,1,1,5,1,5,5,1,1,That past policies of giving the rich tax breaks so that they would re-invest have always proved false so now it is time to take from the rich and give to the poor.,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,65,1,10,2,1,3,1,NA,49,NA,1,1,4,Dem,0,1,7,1,7,1,-1.139607638,1.214648088,-1.34549934,1.104227373,-1.444482526,7,-0.617105696,-0.613834812,1.098314526,-0.547747684,1.865985402,1.781543111,-0.826843852,-1.223853175,-1.348442409,-1.371180361,0.047619048,-1.085682113,0.761904762,-0.135637987,1,0.780281204,1,1.054518834,1,1.813546689,0,-0.663472675,-2,-1.036160783
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,8,NA,1,1,1,1,1,1,1,1,90,10,1,0,0,0,0,4,6,3,5,1,1,5,1,1,1,2,2,No policy that benefits one group at the expense of others should EVER be considered. Period.,1,1,2,2,2,2,1,2,1,2,2,2,3,3,1,3,4,3,1,42,1,1,7,6,7,4,2,NA,3,1,1,9,Rep,1,1.75,6.5,2.5,5.25,2.125,-0.74105327,0.812452354,-0.534950701,-0.267478514,-0.583905408,8,-0.617105696,-0.613834812,1.098314526,-0.547747684,-0.994990595,-0.99954564,-0.044649568,-0.454667158,-0.053937696,0.77870629,1,1.198442705,1,0.644609658,0.047619048,-1.93523488,0,-1.369656795,0,-0.767713587,0.857142857,1.666053607,0,-0.21531755
9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,NA,NA,4,4,4,4,4,4,4,1,100,0,1,0,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,my own situation,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,1,1,1,1,38,1,2,4,4,4,2,2,NA,1,1,1,8,Rep,1,1,5.5,1,7,1.375,-1.139607638,0.008060885,-1.34549934,1.104227373,-1.157623487,9,-0.617105696,-0.613834812,-2.34367612,-0.547747684,-0.994990595,-0.99954564,-0.826843852,-1.223853175,-1.348442409,-1.371180361,0.238095238,-0.628857149,1,0.644609658,1,0.780281204,0.80952381,0.592771095,0,-0.767713587,0,-0.663472675,0,-0.21531755
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,2,NA,3,6,4,3,3,3,4,1,50,50,1,0,1,1,1,2,1,5,4,1,1,4,2,2,3,2,1,I was considering if helping the rich can allow the poor to benefit as well.,1,2,1,1,1,1,1,2,1,2,1,1,1,4,3,3,1,4,1,29,4,1,3,3,3,2,1,45,NA,1,1,5,Dem,0,1.25,6.75,1.75,5.25,1.75,-1.006756182,1.013550221,-0.940225021,-0.267478514,-0.870764447,10,-0.617105696,-0.613834812,0.237816864,0.267826155,-0.279746596,0.390998736,-0.044649568,-1.223853175,-0.916940838,-1.371180361,1,1.198442705,1,0.644609658,0.714285714,-0.034373621,0.095238095,-1.138782925,0.285714286,-0.030210651,0.571428571,0.889544846,3,1.015947298
